"Overnight stays in Hotels 1997-2016"

"Citizenship","2014 Capital region July","2014 Capital region August","2014 Capital region September","2014 West, Westfjords and Southwest until 2007 July","2014 West, Westfjords and Southwest until 2007 August","2014 West, Westfjords and Southwest until 2007 September","2014 Southwest July","2014 Southwest August","2014 Southwest September","2014 West, Westfjords from 2007 July","2014 West, Westfjords from 2007 August","2014 West, Westfjords from 2007 September","2014 North July","2014 North August","2014 North September","2014 East July","2014 East August","2014 East September","2014 South July","2014 South August","2014 South September","2015 Capital region July","2015 Capital region August","2015 Capital region September","2015 West, Westfjords and Southwest until 2007 July","2015 West, Westfjords and Southwest until 2007 August","2015 West, Westfjords and Southwest until 2007 September","2015 Southwest July","2015 Southwest August","2015 Southwest September","2015 West, Westfjords from 2007 July","2015 West, Westfjords from 2007 August","2015 West, Westfjords from 2007 September","2015 North July","2015 North August","2015 North September","2015 East July","2015 East August","2015 East September","2015 South July","2015 South August","2015 South September","2016 Capital region July","2016 Capital region August","2016 Capital region September","2016 West, Westfjords and Southwest until 2007 July","2016 West, Westfjords and Southwest until 2007 August","2016 West, Westfjords and Southwest until 2007 September","2016 Southwest July","2016 Southwest August","2016 Southwest September","2016 West, Westfjords from 2007 July","2016 West, Westfjords from 2007 August","2016 West, Westfjords from 2007 September","2016 North July","2016 North August","2016 North September","2016 East July","2016 East August","2016 East September","2016 South July","2016 South August","2016 South September"
"Austria",2175,1737,256,.,.,.,97,81,25,232,147,51,598,325,64,168,154,36,857,729,169,2238,1698,429,.,.,.,107,250,82,240,203,139,551,414,134,376,365,123,1070,943,268,1998,1716,676,.,.,.,114,189,60,435,276,156,739,952,277,318,437,245,1376,1894,208
"Italy",3563,5034,612,.,.,.,498,746,65,432,792,50,1367,1888,190,1032,1399,81,1896,2884,248,4354,5636,833,.,.,.,371,1191,75,503,721,82,1689,2627,283,782,1667,218,2023,3723,301,5452,7110,901,.,.,.,435,632,181,488,1162,233,2248,4454,532,1067,2120,326,1990,3348,491
"Spain",4054,5435,1695,.,.,.,746,1131,322,596,819,225,1204,1993,357,957,1287,230,1826,2482,575,5307,6463,2221,.,.,.,706,1356,378,650,1043,304,1723,2831,825,1110,2231,509,2035,3058,911,5462,6228,2704,.,.,.,777,756,487,1027,1801,552,2725,4117,1296,1212,1877,570,2071,2770,1109
"Estonia",611,175,271,.,.,.,27,3,9,2,2,2,0,3,63,31,0,61,8,27,7,608,102,273,.,.,.,5,0,0,0,15,0,4,50,56,0,0,4,46,2,7,152,97,165,.,.,.,7,8,18,15,2,7,49,14,41,5,0,8,7,2,20
"Croatia",21,37,18,.,.,.,15,2,6,0,0,0,2,0,0,0,0,2,2,0,0,0,10,28,.,.,.,2,0,2,6,6,2,0,2,0,5,2,0,0,5,0,12,18,18,.,.,.,6,0,0,5,2,0,13,8,2,3,6,0,3,7,2
"Cyprus",3,1,20,.,.,.,0,0,3,0,0,0,0,0,0,0,0,0,12,0,3,20,2,48,.,.,.,0,3,0,0,4,0,0,0,0,0,0,0,0,6,0,4,12,44,.,.,.,0,6,0,0,2,0,9,8,0,2,1,0,0,2,0
"Latvia",109,61,233,.,.,.,20,0,2,0,0,0,0,2,51,0,2,0,1,4,2,53,52,34,.,.,.,0,0,0,0,0,2,123,18,69,0,2,0,2,18,20,179,144,77,.,.,.,93,48,32,0,4,0,4,4,32,13,8,9,26,67,22
"Bulgaria",39,24,26,.,.,.,2,0,0,8,0,0,0,18,4,0,0,0,18,10,0,97,104,34,.,.,.,38,3,0,0,4,0,32,0,0,20,6,0,26,10,0,27,153,120,.,.,.,16,2,2,0,0,2,23,10,84,31,10,12,12,14,30
"Greece",556,490,280,.,.,.,0,4,17,0,5,0,45,9,3,0,3,0,32,49,4,191,263,335,.,.,.,1,2,2,0,0,0,0,8,0,0,2,2,14,45,28,260,384,442,.,.,.,12,15,2,8,4,2,44,26,4,3,23,6,17,23,15
"Portugal",447,321,136,.,.,.,1,17,9,23,4,4,98,38,38,62,27,7,31,79,11,457,258,132,.,.,.,8,13,19,8,2,5,67,55,50,133,99,52,71,50,51,346,607,154,.,.,.,66,36,33,30,31,24,99,108,76,79,97,58,49,84,38
"Ukraine",55,102,1,.,.,.,4,23,6,8,4,0,65,14,2,4,10,0,31,13,0,109,101,53,.,.,.,12,4,0,8,0,7,15,20,6,22,14,4,21,29,11,184,117,46,.,.,.,42,11,5,6,2,12,25,21,11,26,8,14,27,59,16
"Hungary",294,159,60,.,.,.,14,18,0,2,23,22,48,68,0,74,10,22,159,228,4,586,138,585,.,.,.,8,0,0,2,8,4,131,73,122,90,91,2,87,79,26,502,492,408,.,.,.,8,2,2,18,35,0,149,78,27,70,67,18,167,95,44
"Turkey",125,100,131,.,.,.,2,3,12,0,0,0,114,0,0,0,0,0,57,44,14,197,84,119,.,.,.,24,22,10,2,0,36,19,4,8,45,0,6,8,16,19,308,70,109,.,.,.,5,2,4,14,10,6,116,42,22,32,2,40,18,17,24
"Czech Republic",268,208,113,.,.,.,42,32,4,32,11,0,148,88,62,67,46,4,189,132,10,328,183,173,.,.,.,47,163,11,18,12,3,171,88,74,145,52,22,205,36,78,471,158,316,.,.,.,71,19,5,42,22,41,110,128,743,95,46,16,272,87,222
